# 7 lines comment #######################################################################################################################################
# CSV-file forked from https://github.com/ieg-dhr/bombers_baedeker/blob/d635654323c99c4540b390c0a5a39d4121760cc5/visualisation/coords_dariah_format.csv #
# to contribute valid geographic coordinates in decimal degrees and standard wkt-format                                                                 #
# cf. https://hackmd.io/@KaCeBe/qgis_csv_bombers_baedeker2                                                                                              #
# field types: fid:integer; Name:string, lat_gm:string, lon_gm:string, note:string; lat_dec:real; lon_dec:real; WKT:string                              #
# Some placenames and coordinate numbers have been corrected, cf. attribute comment on changes                                                          #
#########################################################################################################################################################
fid,Name,lat_gm,lon_gm,note,lat_dec,lon_dec,WKT
1,AACHEN,50°47,6°5,,50.78,6.08,POINT (6.08333333333333 50.7833333333333)
2,AALEN,48°50,10°5,,48.83,10.08,POINT (10.0833333333333 48.8333333333333)
3,AHLEN,51°45,7°55,,51.75,7.92,POINT (7.91666666666667 51.75)
4,AKEN,51°50,12°0,,51.83,12,POINT (12.0 51.8333333333333)
5,ALBBRUCK,47°36,8°8,,47.6,8.13,POINT (8.13333333333333 47.6)
6,ALLENDORF,50°50,8°50,,50.83,8.83,POINT (8.83333333333333 50.8333333333333)
7,ALLENSTEIN,53°45,20°50,,53.75,20.83,POINT (20.8333333333333 53.75)
8,ALSDORF,50°55,6°10,,50.92,6.17,POINT (6.16666666666667 50.9166666666667)
9,ALTDAMM,53°25,14°40,,53.42,14.67,POINT (14.6666666666667 53.4166666666667)
10,ALTENA,51°15,7°40,,51.25,7.67,POINT (7.66666666666667 51.25)
11,ALTOETTING,48°14,12°40,umlauts resolved,48.23,12.67,POINT (12.6666666666667 48.2333333333333)
12,AMBERG,49°25,10°50,,49.42,10.83,POINT (10.8333333333333 49.4166666666667)
13,AMMENDORF,51°30,12°0,,51.5,12,POINT (12.0 51.5)
14,ANDERNACH,50°26,7°24,Name corrected,50.43,7.4,POINT (7.4 50.4333333333333)
15,ANDREASHUETTE,50°35,18°30,umlauts resolved,50.58,18.5,POINT (18.5 50.5833333333333)
16,ANKLAM,53°50,13°14,,53.83,13.23,POINT (13.2333333333333 53.8333333333333)
17,ANNABERG,50°35,13°0;,,50.58,13,POINT (13.0 50.5833333333333)
18,ANNAHUETTE,51°34,13°54,umlauts resolved,51.57,13.9,POINT (13.9 51.5666666666667)
19,ANSBACH,49°20,10°40,,49.33,10.67,POINT (10.6666666666667 49.3333333333333)
20,ARNSBERG,51°25,8°10,,51.42,8.17,POINT (8.16666666666667 51.4166666666667)
21,ARNSTADT,50°50,10°55,,50.83,10.92,POINT (10.9166666666667 50.8333333333333)
22,ASCHERSLEBEN,51°45,11°30,,51.75,11.5,POINT (11.5 51.75)
23,AUE,50°35,12°40,,50.58,12.67,POINT (12.6666666666667 50.5833333333333)
24,AUERBACH,50°30,12°25,,50.5,12.42,POINT (12.4166666666667 50.5)
25,AUGSBURG,48°20,10°50,,48.33,10.83,POINT (10.8333333333333 48.3333333333333)
26,AUGUSTENTHAL,51°27,7°40,,51.45,7.67,POINT (7.66666666666667 51.45)
